,文章ID,發文時間,更新時間,留言內容,按讚數,關鍵字
1257,238840806,2022-05-10 11:17:58.351000+00:00,2022-05-10T11:17:58.351Z,不怕蟑螂但蜘蛛喇牙之類怕爆我覺得超噁以前曾經不小心徒手摸過一大片蜘蛛網從此以後就超怕蜘蛛,1.0,"['不怕', '蟑螂', '但', '蜘蛛', '喇牙', '之類', '怕', '爆', '我', '覺得', '超', '噁', '以前', '曾經', '不', '小心', '徒', '手摸', '過一', '大片', '蜘蛛網', '從此以後', '就', '超怕', '蜘蛛']"
1258,238840806,2022-05-10 11:41:59.842000+00:00,2022-05-10T11:41:59.842Z,B591看來是蟑螂工具人🤣,0.0,"['B591', '看來', '是', '蟑螂', '工具', '人', '🤣']"
1259,238840806,2022-05-10 11:56:47.183000+00:00,2022-05-10T11:56:47.183Z,沒我出生我就怕爆,0.0,"['沒', '我', '出生', '我', '就', '怕', '爆']"
1260,238840806,2022-05-10 12:10:34.509000+00:00,2022-05-10T12:10:34.509Z,我以前不怕蟑螂中學時期解剖過幾次但上大學在某瓦X泰國料理工作時在一次特清要清牆面要把平常不會清到鐵桌搬開放飯鍋是那種h型有貼著牆壁鐵桌一拉開後我看到完全看不到白色瓷磚蟑螂牆密密麻麻重疊在一起我直接密集恐懼症發作邊乾嘔邊跑離菜口之後我就會怕蟑螂了因為看到他就會想到那面牆,3.0,"['我', '以前', '不怕', '蟑螂', '中', '學時', '期解', '剖過', '幾次', '但', '上', '大學', '在', '某瓦', 'X', '泰國料理', '工作', '時', '在', '一次', '特清要', '清牆', '面要', '把', '平常', '不會', '清到', '鐵桌', '搬', '開放飯', '鍋是', '那種', 'h', '型', '有', '貼', '著', '牆壁', '鐵桌', '一拉開', '後', '我', '看', '到', '完全', '看', '不到', '白色', '瓷磚', '蟑螂牆', '密密麻麻', '重疊', '在', '一起', '我', '直接', '密集', '恐懼症', '發作邊', '乾嘔', '邊跑', '離菜口', '之後', '我', '就', '會', '怕', '蟑螂', '了', '因為', '看', '到', '他', '就', '會', '想到', '那面', '牆']"
1261,238840806,2022-05-10 13:15:02.569000+00:00,2022-05-10T13:15:02.569Z,你說沒有錯印象中很小時候不太怕蟑螂但越長越大就越怕蟑螂我也不知道為什麼⋯⋯可能是看到我媽怕蟑螂就不知不覺也怕了結果現在看到蟑螂我就會瘋狂尖叫四處逃串邊叫我媽來處理我媽也不得不自己跟蟑螂奮戰🤣,0.0,"['你', '說', '沒有', '錯', '印象', '中', '很', '小時候', '不太怕', '蟑螂', '但', '越長', '越大', '就越', '怕', '蟑螂', '我', '也', '不知道', '為什麼', '⋯', '⋯', '可能', '是', '看', '到', '我', '媽怕', '蟑螂', '就', '不知不覺', '也', '怕', '了結', '果', '現在', '看到', '蟑螂', '我', '就', '會', '瘋狂', '尖叫', '四處', '逃串邊', '叫', '我', '媽來', '處理', '我媽', '也', '不得', '不自', '己', '跟', '蟑螂', '奮戰', '🤣']"
1262,238840806,2022-05-10 13:27:26.427000+00:00,2022-05-10T13:27:26.427Z,我是小時候蟑螂爬到我身上過一整天加上早餐裡面出現過大蟑螂從那時候我就超害怕了但我不害怕小隻,0.0,"['我', '是', '小時候', '蟑螂', '爬', '到', '我身', '上過', '一整天', '加上', '早餐', '裡面', '出現', '過大', '蟑螂', '從', '那', '時候', '我', '就', '超', '害怕', '了', '但', '我', '不', '害怕', '小', '隻']"
1263,238840806,2022-05-10 13:31:00.528000+00:00,2022-05-10T13:31:00.528Z,我也很好奇這個問題想搜尋找答案但怕猝不及防出現蟑螂圖ಥ_ಥ就是這麼怕,0.0,"['我', '也', '很', '好奇', '這個', '問題', '想', '搜', '尋找', '答案', '但', '怕', '猝', '不及', '防', '出現', '蟑螂圖', 'ಥ', '_', 'ಥ', '就是', '這麼', '怕']"
1264,238840806,2022-05-10 13:43:54.438000+00:00,2022-05-10T13:43:54.438Z,我也不怕蟑螂可是很怕壁虎🌚🌝,0.0,"['我', '也', '不怕', '蟑螂', '可是', '很', '怕', '壁虎', '🌚', '🌝']"
1265,238840806,2022-05-10 13:50:30.607000+00:00,2022-05-10T13:50:30.607Z,本來會怕蟑螂最近半夜打了幾隻之後就不怕了不過會飛蟑螂跟喇牙還有蛇先不要,1.0,"['本來', '會', '怕', '蟑螂', '最近', '半夜', '打', '了', '幾隻', '之後', '就', '不怕', '了', '不過', '會飛', '蟑螂', '跟', '喇牙', '還有', '蛇', '先', '不要']"
1266,238840806,2022-05-10 14:16:29.055000+00:00,2022-05-10T15:13:26.394Z,長得就不符合人類審美行為不可控神出鬼沒還可能偷偷潛入你私人地盤打死觸感跟視覺很恐怖所以我害怕所有昆蟲跟爬蟲類,3.0,"['長', '得', '就', '不符', '合', '人類', '審美', '行為', '不', '可控', '神', '出鬼', '沒還', '可能', '偷偷', '潛入', '你', '私人', '地盤', '打死', '觸感', '跟', '視覺', '很', '恐怖', '所以', '我', '害怕', '所有', '昆蟲', '跟', '爬蟲類']"
1267,238840806,2022-05-10 15:45:19.135000+00:00,2022-05-10T15:45:19.135Z,我也想過這個問題自己害怕原因可能是來自媽媽我媽超怕蟑螂也是怕到狂尖叫那種所以可能從小耳濡目染覺得蟑螂真超可怕但我覺得他翻肚時是真超噁心😑,0.0,"['我', '也', '想過', '這個', '問題', '自己', '害怕', '原因', '可能', '是', '來自', '媽媽', '我媽', '超怕', '蟑螂', '也', '是', '怕', '到', '狂', '尖叫', '那種', '所以', '可能', '從小', '耳', '濡', '目染', '覺得', '蟑螂', '真超', '可怕', '但', '我', '覺得', '他', '翻肚時', '是', '真超', '噁心', '😑']"
1268,238840806,2022-05-10 15:45:37.843000+00:00,2022-05-10T15:45:37.843Z,我不想碰它我也不想它碰到我不想殺它不想讓它有一丁點遺漏在我所處空間更遑論踩爆讓它體液炸裂啊不就跟遇到變態是一樣道理啊你不怕變態但完全不想有遇上那一天啊這樣很難理解為什麼多數人都怕變態你會怕變態嗎本質上也應該是不會害怕啊認真起來拎鄒罵也是比它大比它恰啊它除了讓你覺得變態噁心猥瑣想吐不蘇胡之外也沒對妳造成什麼危害啊看到它你一樣可以用酒精幫它消毒它捏他肚肚再用衛生紙把它包住捏爆它讓它體液炸裂在你手裡啊它絕對挫勒蛋怕爆你要踩它也可以啊它還問妳能先穿黑絲再踩嗎它也很難殺啊要嘛就快速跑走要嘛也就一樣直撲撲飛撲朝你而去啊蟑螂妳見多了不稀罕但影視動漫新聞媒體親朋好友那傳說中死變態卻從沒親眼見識親手觸摸到活生生變態妳恐懼害怕著從沒見過變態這怎麼行要直視勇於面對你恐懼抓住它捏爆它讓它爆漿升天啊恰恰,2.0,"['我', '不想', '碰', '它', '我', '也', '不想', '它', '碰到', '我', '不想', '殺', '它', '不想', '讓', '它', '有', '一丁點', '遺漏', '在', '我', '所處', '空間', '更', '遑論', '踩', '爆', '讓', '它', '體液', '炸裂', '啊', '不', '就', '跟', '遇到', '變態', '是', '一樣', '道理', '啊', '你', '不怕', '變態', '但', '完全', '不', '想有', '遇上', '那', '一天', '啊', '這樣', '很', '難理解', '為什麼', '多數', '人', '都', '怕', '變態', '你', '會', '怕', '變態', '嗎', '本質', '上', '也', '應該', '是', '不會', '害怕', '啊', '認真', '起來', '拎', '鄒罵', '也', '是', '比', '它', '大比', '它', '恰', '啊', '它', '除了', '讓你', '覺得', '變態', '噁心', '猥瑣', '想', '吐', '不', '蘇胡', '之外', '也', '沒', '對', '妳', '造成', '什麼', '危害', '啊', '看', '到', '它', '你', '一樣', '可以', '用酒', '精幫', '它', '消毒', '它', '捏', '他', '肚肚', '再', '用', '衛生紙', '把', '它', '包住', '捏', '爆', '它', '讓', '它', '體液', '炸裂', '在', '你', '手裡', '啊', '它', '絕對', '挫勒蛋', '怕', '爆', '你', '要', '踩', '它', '也', '可以', '啊', '它', '還問', '妳', '能', '先', '穿', '黑絲', '再', '踩', '嗎', '它', '也', '很', '難', '殺', '啊', '要', '嘛', '就', '快速', '跑', '走', '要', '嘛', '也', '就', '一樣', '直撲', '撲', '飛', '撲', '朝', '你', '而', '去', '啊', '蟑螂', '妳', '見', '多', '了', '不', '稀罕', '但', '影視', '動漫', '新聞', '媒體', '親朋', '好友', '那', '傳說', '中死', '變態', '卻', '從沒', '親眼', '見識親', '手觸', '摸', '到', '活生生', '變態', '妳', '恐懼', '害怕', '著', '從沒', '見過', '變態', '這', '怎麼', '行要', '直視', '勇於', '面對', '你', '恐懼', '抓住', '它', '捏', '爆', '它', '讓', '它', '爆漿', '升天', '啊', '恰恰']"
1269,238840806,2022-05-10 15:53:47.491000+00:00,2022-05-10T15:53:47.491Z,我以前有個長得非常漂亮高中女同學他不怕任何蟲子他敢徒手抓任何蟲他最常徒手抓蟑螂有次還不小心捏爆,0.0,"['我', '以前', '有個', '長', '得', '非常', '漂亮', '高中', '女同學', '他', '不怕', '任何', '蟲子', '他', '敢', '徒手', '抓', '任何', '蟲他', '最常', '徒手', '抓', '蟑螂', '有次', '還不', '小心', '捏', '爆']"
1270,238840806,2022-05-10 16:39:20.326000+00:00,2022-05-10T16:39:20.326Z,蟑螂真好噁心😭,0.0,"['蟑螂', '真好', '噁心', '😭']"
1271,238840806,2022-05-10 18:46:43.979000+00:00,2022-05-10T18:46:43.979Z,我只怕蜜蜂因為被釘到會很痛😂,0.0,"['我', '只怕', '蜜蜂', '因為', '被', '釘', '到', '會', '很', '痛', '😂']"
1272,238840806,2022-05-10 18:47:32.452000+00:00,2022-05-10T18:47:54.953Z,怕蟑螂老鼠蟑螂原因忘了但老鼠記得很清楚小時候去我老爸工廠他們抓到老鼠都是一個水桶裝滿水捕鼠籠丟進去那時候才知道電影跟GTA溺死前兩手分別向上滑動作是真然後倒出來尾巴加水樣子我覺得噁爆尾巴那樣子加上水自從那次看到老鼠在街上洞裡都會跳開想到又想吐了嘔嘔嘔嘔,0.0,"['怕', '蟑螂', '老鼠', '蟑螂', '原因', '忘', '了', '但', '老鼠', '記得', '很', '清楚', '小時候', '去', '我', '老爸', '工廠', '他們', '抓到', '老鼠', '都是', '一個', '水桶', '裝滿', '水捕', '鼠籠', '丟進', '去', '那', '時候', '才', '知道', '電影', '跟', 'GTA', '溺死前', '兩手', '分別', '向上', '滑', '動作', '是', '真', '然後', '倒', '出來', '尾巴', '加水', '樣子', '我', '覺得', '噁', '爆', '尾巴', '那樣', '子加', '上水', '自從', '那次', '看', '到', '老鼠', '在', '街', '上', '洞裡', '都', '會', '跳', '開', '想到', '又', '想', '吐', '了', '嘔', '嘔', '嘔', '嘔']"
1273,238840806,2022-05-10 22:45:36.421000+00:00,2022-05-10T22:45:36.421Z,只怕蟑螂其他什麼動物昆蟲想殺就殺,0.0,"['只怕', '蟑螂', '其他', '什麼', '動物', '昆蟲', '想', '殺', '就', '殺']"
1274,238840806,2022-05-10 23:11:51.116000+00:00,2022-05-10T23:12:29.830Z,噁心是因為爬過我身上過基本上打死是還好他氣味會飛才是讓人噁心還想到蟑螂在恐龍時代就有想一想更噁覺得蜈蚣蛇蛛蛛才是最可怕,1.0,"['噁心', '是', '因為', '爬過', '我身', '上過', '基本上', '打死', '是', '還好', '他', '氣味會', '飛才', '是', '讓', '人', '噁心', '還', '想到', '蟑螂', '在', '恐龍', '時代', '就', '有', '想一想', '更', '噁', '覺得', '蜈蚣', '蛇', '蛛', '蛛', '才', '是', '最', '可怕']"
1275,238840806,2022-05-11 02:45:18.272000+00:00,2022-05-11T02:45:18.272Z,自己覺得是因為人類不習慣在人類聚落遇到體積大到某種程度昆蟲而蟑螂是最常出現在人類聚落昆蟲裡體積算大又常常遇到我們比較不怕大概就是蚊子蒼蠅跟螞蟻吧畢竟他們常見到跟人類生活幾乎融合在一起而且體積不會對恩沒有任何威脅感但大蟑螂體積太大造成不適感很強烈爬行時停留時對於這種不適感排斥而對會造成這種不適感蟑螂相當排斥另外對於動物不可溝通也讓人類無法決定或判斷動物行動模式基於強大不安定感產生警戒意識然後從潛意識角度可能過去我們都曾經歷過蟑螂還是跟人類一比一大小時期那個陰影被留在潛意識伴隨我們投胎好幾次到今天總而言之蟑螂好可怕´༎ຶД༎ຶ,0.0,"['自己', '覺得', '是', '因為', '人類', '不習', '慣', '在', '人類', '聚落', '遇到', '體積', '大到', '某種', '程度', '昆蟲', '而', '蟑螂', '是', '最常', '出現', '在', '人類', '聚落', '昆蟲裡體', '積算大', '又', '常常', '遇到', '我們', '比較', '不怕', '大概', '就是', '蚊子', '蒼蠅', '跟', '螞蟻', '吧', '畢竟', '他們', '常見', '到', '跟', '人類', '生活', '幾乎', '融', '合在一起', '而且', '體積', '不會', '對恩', '沒有', '任何', '威脅', '感', '但', '大', '蟑螂', '體積', '太大造成', '不適感', '很', '強烈', '爬', '行時', '停留', '時', '對於', '這種', '不適感', '排斥', '而', '對會', '造成', '這種', '不適感', '蟑螂', '相當', '排斥', '另外', '對於', '動物', '不可', '溝通', '也', '讓', '人類', '無法', '決定', '或', '判斷', '動物', '行動', '模式', '基於', '強大', '不安定感', '產生', '警戒', '意識', '然後', '從', '潛意識', '角度', '可能', '過去', '我們', '都', '曾經', '歷過', '蟑螂', '還是', '跟', '人類', '一比', '一大', '小時', '期', '那個', '陰影', '被', '留', '在', '潛意識', '伴隨', '我們', '投胎', '好', '幾次', '到', '今天', '總而言', '之', '蟑螂', '好', '可怕', '´', '༎', 'ຶ', 'Д', '༎', 'ຶ']"
1276,238840806,2022-05-11 03:01:31.598000+00:00,2022-05-11T03:01:31.598Z,真太厲害了不怕蟑螂請問我可以嫁給妳嗎大誤,0.0,"['真太', '厲害', '了', '不怕', '蟑螂', '請問', '我', '可以', '嫁給', '妳', '嗎', '大誤']"
1277,238840806,2022-05-11 03:42:41.298000+00:00,2022-05-11T03:42:41.298Z,我不怕蟑螂但我不敢摸因為很髒我都是戴浴廁清潔手套對戰小強但是脫手套後還是會再跑去洗一次手,0.0,"['我', '不怕', '蟑螂', '但', '我', '不敢', '摸', '因為', '很髒', '我', '都是', '戴浴', '廁清潔', '手套', '對戰', '小強', '但是', '脫', '手套', '後', '還是', '會', '再', '跑', '去', '洗', '一次', '手']"
1279,238840806,2022-05-11 08:02:19.894000+00:00,2022-05-11T08:02:19.894Z,我小時候也怕但自從某次被蟑螂突襲飛到脖子上亂爬我爸還在旁邊笑之後我就不怕了只要出現在我眼前就是脫鞋殺蟲劑伺候翻箱倒櫃追殺到天涯海角,0.0,"['我', '小時候', '也', '怕', '但', '自', '從', '某次', '被', '蟑螂', '突襲', '飛到', '脖子', '上', '亂', '爬', '我', '爸', '還在', '旁邊', '笑', '之後', '我', '就', '不怕', '了', '只要', '出現', '在', '我', '眼前', '就是', '脫鞋', '殺蟲劑', '伺候', '翻箱', '倒櫃', '追', '殺', '到', '天涯海角']"
1280,238840806,2022-05-11 08:14:01.440000+00:00,2022-05-11T16:45:04.893Z,被蟑螂爬到身上過之後看到就全身發麻尤其是看到了然後不知道他跑去哪裡大崩潰沒找到他一定失眠,2.0,"['被', '蟑螂', '爬', '到', '身', '上過', '之後', '看到', '就', '全身', '發麻', '尤其', '是', '看', '到', '了然', '後', '不知道', '他', '跑', '去', '哪裡', '大', '崩潰', '沒找', '到', '他', '一定', '失眠']"
1281,238840806,2022-05-11 08:46:50.269000+00:00,2022-05-11T08:46:50.269Z,比起蟑螂我更怕蜘蛛蟑螂我可以打死會想辦法踩扁但蜘蛛我沒辦法會大崩潰,0.0,"['比起', '蟑螂', '我', '更', '怕', '蜘蛛', '蟑螂', '我', '可以', '打死', '會想', '辦法', '踩', '扁', '但', '蜘蛛', '我', '沒辦', '法會', '大', '崩潰']"
1282,238840806,2022-05-11 11:05:05.045000+00:00,2022-05-11T11:05:05.045Z,聽說怕壁虎不怕蟑螂我身邊怕壁虎朋友也是不知道這裡有沒有人一樣壁虎真是世界上最噁東西想像滅蟑螂一樣滅了牠但大家都說牠是益蟲不能殺🥲,1.0,"['聽', '說', '怕', '壁虎', '不怕', '蟑螂', '我', '身邊', '怕', '壁虎', '朋友', '也', '是', '不知道', '這裡', '有', '沒有', '人', '一樣', '壁虎', '真是', '世界', '上', '最', '噁', '東西', '想像', '滅', '蟑螂', '一樣', '滅', '了', '牠', '但', '大家', '都', '說', '牠', '是', '益蟲', '不能', '殺', '\U0001f972']"
1283,238840806,2022-05-11 15:50:27.930000+00:00,2022-05-11T15:50:27.930Z,蟑螂是生化武器很噁爛啊,0.0,"['蟑螂', '是', '生', '化武', '器', '很', '噁', '爛', '啊']"
1284,238840806,2022-05-11 15:53:42.809000+00:00,2022-05-11T15:53:42.809Z,光是蟑螂有腿毛我就無法不怕,0.0,"['光是', '蟑螂', '有', '腿', '毛', '我', '就', '無法', '不怕']"
1285,238840806,2022-05-11 17:18:03.838000+00:00,2022-05-11T17:18:03.838Z,我前一陣子玩英雄聯盟時候突然聽到我室友慘叫聲一開門看到一隻大蟑螂直接原地起飛到我室友臉上我室友直接暈倒等我用酒精加拖鞋把它消滅後拿尺一量發現有六公分真第一次看到那麼大隻,0.0,"['我', '前一陣子', '玩英雄', '聯盟', '時候', '突然', '聽', '到', '我', '室友', '慘叫聲', '一開', '門看', '到', '一隻', '大', '蟑螂', '直接', '原地', '起飛', '到', '我', '室友', '臉上', '我', '室友', '直接暈', '倒', '等', '我', '用', '酒', '精加', '拖', '鞋', '把', '它', '消滅後拿尺', '一量', '發現', '有', '六', '公分', '真', '第', '一次', '看到', '那麼', '大隻']"
1286,238840806,2022-05-12 06:56:42.352000+00:00,2022-05-12T06:57:13.401Z,不怕蟲但他們每次都突然出現快速移動嚇我一跳最後又消失無影無蹤為了避免一直被嚇到只好對他們動刑了,0.0,"['不怕', '蟲但', '他們', '每次', '都', '突然', '出現', '快速', '移動嚇', '我', '一', '跳', '最', '後', '又', '消失', '無影', '無', '蹤', '為', '了', '避', '免', '一直', '被', '嚇到', '只好', '對', '他們', '動刑', '了']"
1287,238840806,2022-05-12 10:07:05.942000+00:00,2022-05-12T10:07:05.942Z,就兩個字噁心🤮,0.0,"['就', '兩個', '字', '噁心', '🤮']"
1288,238840806,2022-05-12 16:13:01.668000+00:00,2022-05-12T16:13:01.668Z,蟑螂很臭⋯⋯⋯⋯,0.0,"['蟑螂', '很', '臭', '⋯', '⋯', '⋯', '⋯']"
1289,238840690,2022-05-09 15:13:44.914000+00:00,2022-05-09T15:13:44.914Z,stickerassetsdcardtwimages373c13cc6c41e560a2c8c61c26c5origpng我玩怎麼沒有遇過高學歷,46.0,"['stickerassetsdcardtwimages373c13cc6c41e560a2c8c61c26c5origpng', '我', '玩', '怎麼', '沒有', '遇過', '高', '學歷']"
1291,238840690,2022-05-09 19:05:13.786000+00:00,2022-05-09T19:05:13.786Z,似乎很多⋯你玩哪個,1.0,"['似乎', '很多', '⋯', '你', '玩', '哪個']"
1292,238840690,2022-05-11 01:19:41.604000+00:00,2022-05-11T01:19:41.604Z,我覺得男生不多欸有時候一天滑下來沒半個高學歷,19.0,"['我', '覺得', '男生', '不', '多', '欸', '有', '時候', '一天', '滑', '下來', '沒', '半個', '高', '學歷']"
1293,238840690,2022-05-11 04:58:47.233000+00:00,2022-05-11T04:58:47.233Z,我身邊台清交女生朋友是真不怎麼玩,5.0,"['我', '身邊', '台', '清交', '女生', '朋友', '是', '真', '不怎麼', '玩']"
1294,238840690,2022-05-11 21:40:29.351000+00:00,2022-05-11T21:40:29.351Z,我覺得高學歷男生也很少欸但高學歷佔人口比例本來就不高了吧🤔,4.0,"['我', '覺得', '高', '學歷', '男生', '也', '很少', '欸', '但', '高', '學歷', '佔', '人口比例', '本來', '就', '不', '高', '了', '吧', '🤔']"
1295,238840690,2022-05-12 05:28:11.745000+00:00,2022-05-12T05:28:11.745Z,之前很常滑Zuvio配對真隨便滑都是中字輩以上醫牙也很多我還遇過醫學系跟我科普蘭花哈哈哈,1.0,"['之前', '很常滑', 'Zuvio', '配對', '真', '隨便', '滑', '都是', '中字輩', '以上', '醫牙', '也', '很多', '我', '還遇', '過醫', '學系', '跟', '我', '科普蘭花', '哈哈哈']"
1296,238840690,2022-05-12 06:20:55.411000+00:00,2022-05-12T06:20:55.411Z,我怎麼滑都滑不到高學歷⋯男女都是反觀我朋友tinder認識一堆台政美女好羨慕🥺,0.0,"['我', '怎麼', '滑', '都', '滑', '不到', '高', '學歷', '⋯', '男女', '都是', '反觀', '我朋友', 'tinder', '認識', '一堆', '台政美女', '好羨慕', '🥺']"
1297,238840690,2022-05-12 06:27:08.138000+00:00,2022-05-12T06:27:08.138Z,怎樣才算高學歷好學校畢業大學畢業高中畢業,0.0,"['怎樣', '才', '算', '高', '學歷', '好', '學校', '畢業', '大學畢業', '高中', '畢業']"
1298,238840690,2022-05-12 07:02:10.593000+00:00,2022-05-12T07:02:10.593Z,寶我來了,0.0,"['寶我來', '了']"
1299,238840690,2022-05-12 08:06:54.099000+00:00,2022-05-12T08:06:54.099Z,我有用過個人覺得自己就是一般陽光男可能不是很會拍照右滑我非常少後來就不太用了😓,0.0,"['我', '有', '用過', '個人', '覺得', '自己', '就是', '一般', '陽光', '男', '可能', '不是', '很會', '拍照', '右', '滑', '我', '非常少', '後來', '就', '不太用', '了', '😓']"
1300,238840690,2022-05-12 12:07:30.937000+00:00,2022-05-12T12:07:30.937Z,現任就是在交友軟體上滑到五大其中一間學生樣貌算普通身高不高跟我身高差在10以內,0.0,"['現任', '就是', '在', '交友', '軟體', '上', '滑', '到', '五大', '其中', '一間', '學生', '樣貌', '算', '普通身', '高不高', '跟', '我', '身高差', '在', '10', '以內']"
1301,238840690,2022-05-12 12:59:34.152000+00:00,2022-05-12T12:59:34.152Z,交友軟體不都看顏值嗎學歷又不能吃,0.0,"['交友', '軟體', '不', '都', '看', '顏值', '嗎', '學歷', '又', '不能', '吃']"
1302,238840690,2022-05-12 13:56:38.384000+00:00,2022-05-12T13:56:38.384Z,B0女生高學歷感覺包袱多不敢上交友軟體要嘛就朋友介紹要嘛就萬年單身🤣,4.0,"['B0', '女生', '高', '學歷', '感覺', '包袱', '多', '不敢', '上', '交友', '軟體', '要', '嘛', '就', '朋友', '介紹', '要', '嘛', '就', '萬年', '單身', '🤣']"
1303,238840690,2022-05-12 14:13:46.338000+00:00,2022-05-12T14:13:46.338Z,我怎麼覺得高學歷這種東西還是要看運氣啊哈哈哈哈哈,0.0,"['我', '怎麼', '覺得', '高', '學歷', '這種', '東西', '還是', '要', '看', '運氣', '啊哈', '哈哈哈哈']"
1304,238840690,2022-05-12 14:35:36.187000+00:00,2022-05-12T14:36:20.624Z,玩交友軟體現象錯亂之一一10個有9個爬山運動跑步看到照片那個🪣腰這是熱愛健身二熱愛美食幾張美食照就問要不要約出來吃飯三約嗎🥲淡淡哀傷有沒有比較新鮮,3.0,"['玩', '交友', '軟體', '現象', '錯亂', '之一', '一', '10', '個', '有', '9', '個', '爬', '山運動', '跑步', '看', '到', '照片', '那個', '\U0001faa3', '腰', '這是', '熱愛', '健身', '二熱', '愛美', '食', '幾張', '美食照', '就', '問要', '不要', '約', '出來', '吃飯', '三約', '嗎', '\U0001f972', '淡淡', '哀傷', '有', '沒有', '比較', '新鮮']"
1305,238840690,2022-05-12 16:18:01.907000+00:00,2022-05-12T16:18:01.907Z,學歷看看就好了寫說讀哈佛就真信他讀哈佛喔交友看人品學歷和人品沒有關聯性,0.0,"['學歷', '看', '看', '就', '好', '了', '寫', '說', '讀', '哈佛', '就', '真信', '他', '讀', '哈佛', '喔', '交友', '看', '人品', '學歷', '和', '人品', '沒有', '關聯性']"
1306,238840690,2022-05-13 05:09:48.295000+00:00,2022-05-13T05:10:01.671Z,我用看不到臉四大四中大概十分之二,0.0,"['我用', '看', '不到', '臉', '四大', '四中', '大概', '十分', '之二']"
1307,238840690,2022-05-18 12:50:58.861000+00:00,2022-05-18T12:50:58.861Z,滑過很多個高學歷男生來約占9成😢女生高學歷也很多但配對成功次數很低就是了,0.0,"['滑過', '很', '多個', '高', '學歷', '男生', '來', '約', '占', '9', '成', '😢', '女生', '高', '學歷', '也', '很多', '但配', '對', '成功', '次數', '很', '低', '就是', '了']"
1308,238840630,2022-05-09 15:00:02.493000+00:00,2022-05-09T15:00:02.493Z,終於有人發上來討論了,42.0,"['終於有', '人發', '上來', '討論', '了']"
1309,238840630,2022-05-09 15:11:22.880000+00:00,2022-05-09T15:11:22.880Z,看到尷尬癌發作,29.0,"['看到', '尷尬', '癌發作']"
1310,238840630,2022-05-09 16:41:30.503000+00:00,2022-05-09T16:41:30.503Z,認同你真自以為大牌,14.0,"['認同', '你', '真', '自以', '為', '大牌']"
1311,238840630,2022-05-09 17:25:43.724000+00:00,2022-05-09T17:25:43.724Z,不過還蠻好奇現在頭髮長怎樣哈哈哈剛剛去看都沒看到,3.0,"['不過', '還蠻', '好奇', '現在', '頭', '髮', '長', '怎樣', '哈哈哈', '剛剛', '去', '看', '都', '沒', '看', '到']"
1312,238840630,2022-05-09 17:39:35.831000+00:00,2022-05-09T17:41:04.232Z,看到奢華部分原本以為卜心也會做結果沒有有點可惜原本蠻期待🥲那雙胞胎一介紹出來時妹妹感覺就超害羞整個人縮起來還低著頭聲音超小姐姐感覺出來有努力但還是尬尬渾身不自在看到後面真會無視那兩位中間還有妹妹狂遮自己額頭有點讓人傻眼但可能那年紀人有自己堅持吧😅奢華髮型我覺得蠻好看很時尚比起一般常見妹妹頭真好很多希望之後能重找人再拍一次只拍奢華也不錯呀,28.0,"['看到', '奢華', '部分', '原本', '以為', '卜心', '也', '會', '做', '結果', '沒有', '有點', '可惜', '原本', '蠻期', '待', '\U0001f972', '那', '雙胞胎', '一', '介紹', '出', '來時', '妹妹', '感覺', '就', '超', '害羞', '整', '個人', '縮起', '來', '還低', '著頭', '聲音', '超小', '姐姐', '感覺', '出來', '有', '努力', '但', '還是尬', '尬', '渾身', '不自在', '看到', '後面', '真會', '無視', '那', '兩位', '中間', '還有', '妹妹', '狂遮自己', '額頭', '有點', '讓', '人', '傻眼', '但', '可能', '那', '年紀', '人有', '自己', '堅持', '吧', '😅', '奢華', '髮', '型', '我', '覺得', '蠻', '好看', '很時', '尚比起', '一般', '常見', '妹妹', '頭真', '好', '很多', '希望', '之後', '能重', '找', '人', '再', '拍', '一次', '只', '拍', '奢華', '也', '不錯呀']"
1313,238840630,2022-05-09 18:30:31.300000+00:00,2022-05-09T18:30:31.300Z,沒事這社會大家都喜歡聽好聽話只會看到虛偽一面人家只是還小演不出來嬉鬧就是他們風格阿為了你說嬉鬧我還去看了第2次我還真看沒有呢還有難道9妹不知道他也可以把奢華給卜心剪阿反觀我猜就是有人不想被修得太糟才會只修瀏海一堆假道德魔人自以為高尚幫別人講話就等於腦粉護航這邏輯已死只會看表面沒有同理心不怪你,7.0,"['沒事', '這社會', '大家', '都', '喜歡', '聽', '好聽話', '只會', '看', '到', '虛偽', '一面', '人家', '只是', '還小演', '不', '出來', '嬉鬧', '就是', '他們', '風格', '阿為', '了', '你', '說', '嬉鬧', '我', '還去', '看', '了', '第', '2', '次', '我', '還真', '看', '沒有', '呢', '還有', '難道', '9', '妹', '不知道', '他', '也', '可以', '把', '奢華', '給卜心', '剪', '阿', '反觀', '我', '猜', '就是', '有人', '不想', '被', '修得', '太糟', '才', '會', '只', '修', '瀏海', '一堆', '假道', '德魔人', '自以', '為', '高尚', '幫別人', '講話', '就', '等', '於', '腦粉', '護航', '這邏輯', '已', '死', '只會', '看表面', '沒有', '同理', '心不怪', '你']"
1314,238840630,2022-05-09 20:26:25.997000+00:00,2022-05-09T20:26:25.997Z,佩服你看到後面那兩個一出場長得也普普話也講不好就直接關掉看別了,16.0,"['佩服', '你', '看', '到', '後面', '那', '兩個', '一出', '場長', '得', '也', '普普話', '也講', '不好', '就', '直接', '關掉', '看別', '了']"
