留言名字,回覆內容
"

我就是香蕉

","
貓貓籠九 wrote:連答辯都懶果然是尊貴(恕刪)
我公然幫九哥+5分會不會被抓去關?  九哥混得比我久，比較清楚01歷年以來的風風雨雨，我資歷好像還未滿一年或是一年出頭，我已經記不太清楚了，第一個""我不是香蕉""的帳號，我記得應該是去年2019年初申請的，然後在6月莫名其妙被關帳號(直接關掉，沒有經過漸進式停權30天....60天....等等的程序)，第一次違反版規就直接被管理員把帳號給關了，連申訴的機會都沒有，然後申請第二個帳號""我就是香蕉""，為什麼要取ID""我就是香蕉""，那是因為要跟之前的帳號""我不是香蕉""做對比來表達我的抗議，目的就是想公開的跟那些看不慣我的人說我就是那根香蕉啦，結果今年除夕前這個帳號又被管理員莫名其妙的""預防性""停權，因為當時除夕前答應要幫人回文拚抽獎，然後再把獎品送給那個人，於是我趕緊再申請了第三個帳號""君子之蕉蛋如水""，申請了""君子之蕉蛋如水""這個帳號之後，第二個""我就是香蕉""的帳號就很少登入使用，從今年農曆年到現在一直都是使用""君子之蕉蛋如水""的帳號，結果""君子之蕉蛋如水""因故在4月休息了一個月之後，今天(5月1日)早上登入回覆6則留言之後又被停權了，於是趕緊再把這個已經幾個月沒登入使用的帳號""我就是香蕉""拿出來用，說實話，大約一年裡面沒有犯錯，然後被連續搞了幾次，我還是對01不離不棄，可見我應該是真心愛01的，但是又何奈，落花有意隨流水，流水無情戀落花，真的有點不如歸去的感覺了。所以我完全可以體會你的心聲。唉 
"
"

貓貓籠九

","
我就是香蕉 wrote:我公然幫九哥+5分會(恕刪)
純粹搶111樓喜歡來逛01當然是01有很多優點例如喜歡他這邊資訊豐富業配女模也有一定素質閒聊版一些網友也蠻有趣的...等等的留著帳號也不像不行的以前常講的那麼壞心是留這帳號等看01會不會倒每個網站都還是有缺點不改也不是不行缺點放著也無傷大雅不用放大去發文甚麼規勸大家之類的想改就像我剛剛說的要改就改不要廢話01專制也不是一兩天，不會這樣就讓人離開要走的早走了會來的早習慣了不是嗎
"
"

我就是香蕉

","
貓貓籠九 wrote:純粹搶111樓喜歡來(恕刪)
希望這棟樓可以一直蓋下去，到時187樓我絕對不會讓給你 說實話，去年還真的有些發文蠻有趣的大大離開了耶，鵝哥W歪當勞漢堡包如果有趣的人相繼離開，剩下的人沒那麼有趣的話，說不定不行的留下帳號想要看到的美夢會成真喔
"
"

y-der

","
我就是香蕉 wrote:落花有意隨流水，流水無情戀落花(恕刪)
落下的不是白花花的鈔票，就甭文謅謅了只不過在耍迂迴之術看你會不會知難而退。
"
"
 
就是那個光在曾經的短暫相聚

","
chiang wrote:各位知道我們設立給分(恕刪)
知道了 覺得好的會酌以加分 以資鼓勵 
"
"

我就是香蕉

","
y-der wrote:落下的不是白花花的鈔(恕刪)
迂迴之術?我不相信用香蕉請到的猴子的智商有那麼高 
"
"

chiang

","
Xantia_L wrote:可以...(恕刪)
你有八百多分，你確定要捐出來？
"
"

瞳顏無忌

","
我真的是個送外賣的 wrote:副總早其實給分的作用一直很不明朗又不是說單一文章得分高的就可以自動至頂或是分版(手機板 或是 相機版)得分高的可以拿VIP一個月像是陸仁賈二哥的木工文章 小的幾乎看到都有給5分給著給個好像也不能幹嘛久了就連登入mobile01都不想了
真傻。外賣哥何苦為了非關閒聊的事情嘔氣不登進來跟聊天？您不進來露臉聊天，我要怎麼幫您加分？說不定＂機會是給準備好的人＂～～保不準哪天蔣院長發神經～～玩快閃～～例如：限定某年某月的某一天，可以拿10000積分抵扣換一年ＶＩＰ之類的...(我只是舉例亂講的)那您只有三千多的積分，不就錯失限時兌換的機會(扼腕)。....(*^.^*)
"
"

我真的是個送外賣的

","
chiang wrote:你有八百多分，你確定要捐出來？
這也許是個方法積分可以某種形式轉作捐贈公益話說有天回家的時候還覺得工作煩死了看到信箱捐助學童寄來的信其實是滿有感觸的瞳顏無忌 wrote:真傻。外賣哥何苦為了(恕刪)
到也不是嘔氣只是工作最近倒是滿低潮的生活上做什麼事情都沒什麼勁就是了
"
"

Mr ciprino

","
蔣大啊一直以來都不知道加分能做什麼所以一開始會針對好文去加分想當年id哥就很在意分數大家就拿分數去玩他也没看到站方有什麼動作在那之後很多人都不知道分數能做什麼多年前我也玩過加分樓站方也一副不在乎從此以後分數的重要與否早已不再是文章好壞的鼓勵機制了真的建議依版區加權我在閒聊區真的只是打嘴砲而已但在其他區就會很認真的分享想法每個人每天登入就有基本分要加分只能從帳號的分數去扣除扣完了就不能再加分相信站方主管有不少聰明人他們一定會想出好的辦法出來目前的分數制度是站方搞出來不能怪會員玩加分是你們讓他們去玩也不阻止的
"
"

瞳顏無忌

","
我真的是個送外賣的 wrote:到也不是嘔氣只是工作最近倒是滿低潮的生活上做什麼事情都沒什麼勁就是了(恕刪)
確實，大家都低潮。對我來說 進來論壇，就像從現實空間逃來網路空間轉換心情～～有時進來胡說八道亂打字，就像透透氣大聲嘶吼的概念～～等關上電腦回到現實世界，我又像啥事都沒發生似的繼續接受磨難囉！....(*^,^*)
"
"

Xantia_L

","
chiang wrote:你有八百多分，你確定(恕刪)
將將將.....這棟樓 800多分 算多橋大叔。靠董....香蕉哥哥。告非目童集團 資深的都是我的2倍以上。以前這些搞不好 早就頭不見了。那管妹時期，大屠殺.....小惡魔恐佈。國定殺戮日這個草 可能都長的跟陽明山一樣高了一人給5分。我也是01有錢人。只是問一下 積分可以做什麼用再01掏寶嗎我記得01製作很多好寶貝。不然出來送。爽這樣人氣會滅耶 蔣大 有沒有特別榮譽貢獻獎。 答案是NO01的員工。蔣大 5月1日 有加發獎金嗎看我冒險替你們爭取 萬一人頭落地。記得 把蔣大抓去關一個月。念他是你們老闆，居家隔離14天就好
"
"

寂寞的陸仁賈

","
chiang wrote:各位知道我們設立給分...(恕刪)
已+5分了！
"
"

今天的大事 明天的小事

","
親愛的蔣大：在閒聊版，您叫這些猴因仔不要玩給分，您是真心的嗎?
"
"

狗子2008

","
我真的是個送外賣的 wrote:這也許是個方法積分可(恕刪)
我也一樣還會上01是覺得這版友都有一定的社會歷練，文字敘述都不錯，也有一定幽默感、開得起玩笑，只是現在一些版友詞不達意，三兩句就吹鬍子瞪眼久了就沒啥動力看文了。當然有時自己的工作忙，就不上了，畢竟我們都是有工作的，有時還挺忙的
"
"

人民幣

","
那 請問一下 民進黨網軍相互洗分 01有什麼作為呢
"
"

狗子2008

","
人民幣 wrote:那 請問一下 民進(恕刪)
被停權最多次的人出現了
"
"

nt1

","
chiang wrote:各位知道我們設立給分(恕刪)
那大家來聯署集滿10000分可以跟愛曼達約會一次好不好?
"
"

crab69

","
蔣大不願意處理那些1450嗎？不超過10個人，但是每天不斷發文洗版，造謠抹黑，敗壞社會風氣
"
"

寂寞的陸仁賈

","
人民幣 wrote:那 請問一下 民進...(恕刪)
賣溝共啊！等等你又進城去了！
"
"

Mr ciprino

","
人民幣 wrote:那 請問一下 民進(恕刪)
怕什麼你也可以組織一支圑結的五毛互相洗分抗衡啊民主社會那有不准人發表言論的自由身為一個五毛要有雖千萬人吾往矣的骨氣這樣才對看看對岸的爽哥和春淫姐還有藍軍的假髮哥他們真的值得學習要以理服人啊不要動不動吵輸人家就要站長關人家區區1450你就怕了認輸了這還是我們知道屢敗屢戰的人民幣嗎 
"
"

人民幣

","
狗子2008 wrote:被停權最多次的人出現(恕刪)
狗哥 這叫悲哀啊
"
"

人民幣

","
寂寞的陸仁賈 wrote:賣溝共啊！等等你又進(恕刪)
現在 我只想看真理褲 至於真理 唉 看01吧
"
"

人民幣

","
Mr ciprino wrote:怕什麼你也可以組織一支圑結的五毛互相洗分抗衡啊民主社會那有不准人發表言論的自由身為一個五毛要有雖千萬人吾往矣的骨氣這樣才對看看對岸的爽哥和春淫姐還有藍軍的假髮哥他們真的值得學習要以理服人啊不要動不動吵輸人家就要站長關人家區區1450你就怕了認輸了這還是我們知道屢敗屢戰的人民幣嗎
兄臺 我應該不是五毛 而且我沒吵輸人家就要站長關人家我對1450+817相互追捧 造謠是非 不能接受至於分數多寡 不是我的目的至於在01對抗1450+817和民進黨 我很樂意 我也參加過倒扁只是怕 拉機們又跟01 黨團協商 把我關進去最後 我不想當曾國藩
"
"

Mr ciprino

","
人民幣 wrote:兄臺 我應該不是五毛(恕刪)
對嘛這才是一直被關還不放棄的精神不枉幫你開香樓真的是個咖 當曾國藩也没什麼不好有錢有權他自己還說他有個好色的毛病所以身邊相信美女也不少 
"
"

人民幣

","
Mr ciprino wrote:對嘛這才是一直被關還(恕刪)
唉 參加救國團多年 從來沒有多人運動過希望有生之年可以參加泰國刷刷鍋
"
"

tom812

","
我還是想知道積分能做什麼？積分高對於會員有什麼幫助？假如積分只有鼓勵作用的話，去限制加分動作其實沒有多大的意義！就像說錯話被檢舉會被關進城，但是發文會有獎勵嗎？至少把規則明訂出來，有賞有罰大家才會想遵循，畢竟01是個商業網站，靠流量與廣告在增加收入的，假如限制太多導致沒人要來的話相信也不是蔣大樂見的！或許分數也可以由點廣告來獲取，有點廣告才可以給分。或是像一些遊戲一樣，給分分成兩種，一種是透過會員給分獲得，一種是發文獲得，不過這種分數必須要有實質上的用處，不然也只是流於形式罷了！以上是小弟淺見！
"
"

b700543

","
太認真了,人的行為就這樣,能做的就是自己掌控的部分,其他的都是白說的.
"
"

不貳過

","
給分功能不就是讓大家不用出一分一毫錢就能做利人不損己、皆大歡喜的大善事嗎⋯⋯
"
"

NeverGiveUp!!

","
--Jey Vazz - Angry Before‍‍‍‍‍
"
"

蚵仔麵線好吃

","
蔣大說的不錯給分還是要比鼓勵為性質...
"
"

天天吃阿鈣

","
我建議來個負分制度負到一個程度看是要把人或文給廢了如何?
"
"

貓貓籠九

","
天天吃阿鈣 wrote:我建議來個負分制度負(恕刪)
那蔣大會被廢掉尼別鬧了好杯
"
"

天天吃阿鈣

","
貓貓籠九 wrote:那蔣大會被廢掉尼別鬧(恕刪)
歐北共蔣大是我們最愛戴的01大家長地位有如神武英明金正恩領袖加分都來不及了
"
"

貓貓籠九

","
天天吃阿鈣 wrote:歐北共蔣大是我們最愛(恕刪)
靠腰喔差那麼多一個是死胖子一個是活型男誰敢說活胖子我就翻臉了
"
"

天天吃阿鈣

","
貓貓籠九 wrote:靠腰喔差那麼多一個是(恕刪)
好吧我承認01金正恩是該死的型男
"
"

沒有色彩

","
01白虎哥 wrote:我當初推廣洗分樓...(恕刪)
你都18萬分了洗的很成功你有發過什麼好文？得了便宜又賣乖！給分制度不就是被你玩壞的比時事版更誇張
"
"

哪有姑娘不戴花

","
亞利安星人 wrote:e04~片皮鴨你請定了！
你看看，蔣大說要請你吃烤鴨了還不快去~~~~^++++^chiang wrote:有沒有人志願推動”好文給分回文協會”的成立跟推動，我請他吃名人坊烤鴨
"
"

亞利安星人

","
哪有姑娘不戴花 wrote:你看看，蔣大說要請你(恕刪)
不食嗟來食~要就要吃自己辛勤凹來的！所以還是你的火焰片皮鴨好！
"
"

隨便的藍

","
chiang wrote:各位知道我們設立給分功能的意義嗎?...(恕刪)
對岸中國人都把給分功能搞成洗分功能了建議還是停掉好了
"
"

好圖狼

","
隨便的藍 wrote:對岸中國人都把給分功(恕刪)
不是被貴黨網軍搞成洗分功能.
"
"

喬大叔

","
隨便的藍 wrote:對岸中國人都把給分功(恕刪)
好圖狼 wrote:不是被貴黨網軍搞成洗...(恕刪)
這麼看來...是唬哥的洗分樓突顯了這方面的問題...才得到了官方的重視...
"
"

Arthur0224

","
蔣大這篇文值得給5分，歐耶~chiang wrote:各位知道我們設立給分(恕刪)
"
"

錢珈迪

","
認同認同
"
"

Kaito Model

","
蔣大的文章都閒聊咖在捧場,想想沒有閒聊咖的01鐵定會完蛋! 話說回來,為什麼大家都玩積分不玩微分?
"
"

Mr ciprino

","
Kaito Model wrote:蔣大的文章都閒聊咖在(恕刪)
因為閒聊咖不會排富啊看看錶版、車版、手機版、相機版每個版都在炫富只有閒聊版都是社會底層自然比較溫暖 
"
"

涼山蔔

","
Kaito Model wrote:蔣大的文章都閒聊咖在捧場,想想沒有閒聊咖的01鐵定會完蛋! 話說回來,為什麼大家都玩積分不玩微分?
積分 會越來越多微分 會越來越少~~~~
"
"

涼山蔔

","
nt1 wrote:那大家來聯署集滿10000...(恕刪)
這樣愛曼達會太忙大家都衝積分我犧牲啦! 積分你們衝,約會我來!!
"
"

ettvyang65

","
chiang wrote:各位知道我們設立給分(恕刪)
好
"
"

不大能說的秘密

","
 我認為.......算了.........當我沒說....
"
"

好圖狼

","
不大能說的秘密 wrote:我認為.......(恕刪)
來加五分
"
"

街角的癡漢

","
蔣大維持01不容易，類似網站一堆倒數按x廣告，01算很簡潔乾淨了要來就來不來就電電離開意見最多的又愛來不想要基地台又要訊號好更何況是沒收你錢的01一堆毛好了蔣大我只能幫到這裡了後謝你看著辦
"
"

Mr ciprino

","
街角的癡漢 wrote:蔣大維持01不容易，...(恕刪)
VIP你買了沒
"
"

好圖狼

","
Mr ciprino wrote:VIP你買了沒(恕刪)
加五分
"
"

Xantia_L

","
Mr ciprino wrote:VIP你買了沒(恕刪)
廣告點滿沒。點好沒所有活動參加沒。三沒
"
"

超級不行者

 ","
不大能說的秘密 wrote:我認為.......(恕刪)
诶~~不大出現了我以為你退出01了
"
"

chiang

","
街角的癡漢 wrote:蔣大維持01不容易，類似網站一堆倒數按x廣告，01算很簡潔乾淨了要來就來不來就電電離開意見最多的又愛來不想要基地台又要訊號好更何況是沒收你錢的01一堆毛好了蔣大我只能幫到這裡了後謝你看著辦
一個網站就像是一個微型社會的縮影從01開始第一天就有人會批評說什麼我們會倒，不然就是說01人氣下滑.....這些話我都聽10幾年了我也從來不辯駁，現在01還在這邊服務大家，繼續讓大家每天嘴砲.....很多事去辯是沒有用的，做就對了，能活到最後也就證明你的理念是對的01是商業網站，維持基本運作跟人事成本都需要錢，我們不能沒有廣告，但也不希望廣告影響使用體驗，也推出了VIP全無廣告的服務，多一個可能的選擇，但不管你是花錢成為VIP，或是每天都上01，都是對01最好的支持01這幾年是希望走向開放，盡可能將過去不能做的事改變為可以做或是成為功能，這也很挑戰過去我們堅持的一些理念跟想法，不過時代在變，使用者也被教育的更聰明了，我們正在往更開放的路上前進，努力
"
"

喬大叔

","
chiang wrote:每天都上01，都是對01最好的支持
每天都有支持...
"
"

iamaminimalist

","
回文抽超商禮券那一波大家都熱情回文應該持續辦經費不足可以拉開間距
"
"

chiang

","
iamaminimalist wrote:回文抽超商禮券那一波...(恕刪)
如果大家都能先去支持好文章，參與回文或是給分，我會有更多支援來支持這個項目，請大家多幫忙 🙏
"
"

Xantia_L

","
chiang wrote:如果大家都能先去支持(恕刪)
我上班都用01腰包。最近覺得小了一點 獎.獎.獎......可以換大一點的嗎?!有沒有廣告商要貼商品。不收上架費。
"
"

街角的癡漢

","
Xantia_L wrote:我上班都用01腰包。(恕刪)
你好我賣絲瓜菊花茶的可以貼一條絲瓜加一片菊花上去嗎？
"
"

Xantia_L

","
街角的癡漢 wrote:你好我賣絲瓜菊花茶的(恕刪)
請洽01管妹。轉 蔣大如忙線 請稍候在播.....電話(02)2627-8899 分機 351、352傳真(02)2627-1688地址114 台北市內湖區洲子街55號10樓艾曼達 是哪個部門的啊
"
"

chiang

","
Xantia_L wrote:我上班都用01腰包。最近覺得小了一點 獎.獎.獎......可以換大一點的嗎?!
腰包......我好久沒做了現在手邊只有運動後背包而已
"
"

kun429

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的(恕刪)
怎麼可以這樣對付得分王白虎哥哩...lol
"
"

資深邊緣人

","
誰可以回答為什麼現在閒聊版會看到一堆其他版的文我給他+5分
"
"

A博

","
資深邊緣人 wrote:誰可以回答為什麼現在(恕刪)
因為文章被回報分區錯誤應該放閒聊
"
"

chiang

","
資深邊緣人 wrote:誰可以回答為什麼現在閒聊版會看到一堆其他版的文我給他+5分
我在測試新的功能
"
"

瞳顏無忌

","
chiang wrote:我在測試新的功能(恕刪)
害小的以為院長開的藥失效了～～想說該不該放棄治療。....(*^.^*)
"
"

xxK小妹xx

","
chiang wrote:我在測試新的功能...(恕刪)
不是被駭客攻擊哦~
"
"

chiang

","
xxK小妹xx wrote:不是被駭客攻擊哦~
不是，我們在測試秘密武器，看看能不能讓大家變乖一點，自動加入01 VIP ✌️
"
"

chiang

","
xxK小妹xx wrote:不是被駭客攻擊哦~
不是，我們在測試秘密武器，看看能不能讓大家變乖一點，自動加入01 VIP ✌️
"
"

xxK小妹xx

","
chiang wrote:不是，我們在測試秘密...(恕刪)
自訂想看的內容?
"
"

Kaito Model

","
xxK小妹xx wrote:自訂想看的內容?...(恕刪)
像是18禁嗎？
"
"

沒有色彩

","
chiang wrote:不是，我們在測試秘...(恕刪)
加入vip可以減少發文被回收嗎？這些是不同時間發文，不同的內容，在幾天後突然在同一時間被回收。
"
"

瞳顏無忌

","
chiang wrote:不是，我們在測試秘密武器，看看能不能讓大家變乖一點，自動加入01 VIP ✌️(恕刪)
雖然後知後覺...小的好像看懂蔣院長的路數～～因為閒聊版第一頁(包含置頂文)從30列文爆增到41列文～～您的奸計是...要大家“自主客制”～～將自己不喜歡的文(人)加入黑名單，讓使用者自己管理版面～～我猜想，您的目的不是要販售VIP而是要降減管理人員受理回報老做廢事的工作量(工作疲勞)～～說真的，處理沒意義的網路衝突會讓員工失去工作的樂趣～～若能讓管理人員將心力用來執行有產值產能或更有價值的任務～～才能有效提升人員的工作成就感與工作滿意度～～人員的流動率才會低，在職的定著率才會高。以上胡說八道。....(*^.^*)
"
"

亞利安星人

","
瞳顏無忌 wrote:雖然後知後覺...小(恕刪)
本貓覺得不是，站方應該是想藉由將其他版的文章混到閒聊版，讓閒聊眾在不注意的情況下參與回文，這樣可以把閒聊版的回文能量與人流導到其他版去。
"
"

瞳顏無忌

","
亞利安星人 wrote:本貓覺得不是，站方應該是想藉由將其他版的文章混到閒聊版，讓閒聊眾在不注意的情況下參與回文，這樣可以把閒聊版的回文能量與人流導到其他版去。(恕刪)
幫主的觀點 跟 站方力推黑名單使用還有加入VIP. 有什麼相關性？(不懂)....(*^.^*)
"
"

亞利安星人

","
瞳顏無忌 wrote:幫主的觀點 跟 站方(恕刪)
本貓是說最近閒聊版的主題很多點下去其實都是其他版面的這件事，黑名單跟VIP頂多只能算官方說法，因為這些其實對充實網站內容、促進互動、拉抬人氣、增加流量等都沒幫助，只有盡可能的增加各種主題能見度才有可能增加回文進而創造流量，點擊率和回文數量是一個網站很重要的一部分，而閒聊版最不缺的就是回文和嘴砲了，所以.....
"
"

君子之蕉蛋如水

","
瞳顏無忌 wrote:雖然後知後覺...小(恕刪)
請參考我在19樓的看法 
"
"

xxK小妹xx

","
亞利安星人 wrote:本貓是說最近閒聊版的...(恕刪)
講白一點，01需要閒聊咖的流量😁
"
"

Mr ciprino

","
亞利安星人 wrote:本貓是說最近閒聊版的(恕刪)
在閒聊待久了早就會判斷那些文是閒聊文那些是其他版的抱怨文蔣大說要大家加入01 VIP只是藉口而己應該是管理人員不足又一堆人在各版吵來吵去的回報不停是站方的問題這是站方管理高層自己要想辦法解決的 
"
"

資深邊緣人

","
亞利安星人 wrote:本貓覺得不是，站方應(恕刪)
現在的狀況好像雷神索爾2的九界連線一個不小心就跑到斯瓦塔爾夫海姆了阿斯~
"
"

貓貓籠九

","
亞利安星人 wrote:讓閒聊眾在不注意的情況下參與回文，這樣可以把閒聊版的回文能量與人流導到其他版去。
聽起來像鼻胃管、導尿管  
"
"

貓貓籠九

","
chiang wrote:我在測試新的功能(恕刪)
明明就是MIS落漆不給力
"
"

亞利安星人

","
貓貓籠九 wrote:聽起來像鼻胃管、導尿(恕刪)
乖~年紀大了就不要這麼衝，回床上躺好插好插滿
"
"

君子之蕉蛋如水

","
貓貓籠九 wrote:聽起來像鼻胃管、導尿(恕刪)
有牽涉到能量的應該是輸精管吧 
"
"

Xantia_L

","
君子之蕉蛋如水 wrote:有牽涉到能量的應該是(恕刪)
攝護腺吧Prostate
"
"

韓非子

","
chiang wrote:各位知道我們設立給分(恕刪)
可是我只要點進來01看到的文章都有如天降甘霖一般的神來之筆怎麼辦?
"
"

喬大叔

","
韓非子 wrote:可是我只要點進來...(恕刪)
墊一磚⋯
"
"

喬大叔

","
韓非子 wrote:可是我只要點進來...(恕刪)
200⋯
"
"

Xantia_L

","
韓非子 wrote:可是我只要點進來01(恕刪)
當然是給分給到死。依照台灣歷史。蔣大應該也是聯考下的產物。還有考三民主義。01都是理工科。到底是第幾類組 我也搞不清楚。反正 我覺得當老闆。肚子可以沒墨水。
"
"

aavicky

","
資深邊緣人 wrote:現在的狀況好像雷神索爾2的九界連線一個不小心就跑到斯瓦塔爾夫海姆了阿斯~鬼(恕刪)
有時被帶去 汽車版，就忘了回來
"
"

喬大叔

","
aavicky wrote:有時被帶去 汽車版，就忘了回來
被載走了喔...
"
"

不大能說的秘密

","
超級不行者 wrote:诶~~不大出現了我以(恕刪)
Sorry啦～前年搬家換新環境也剛好換工作一忙就忘了這裡還有很多搗蛋咖
"
"

狗子2008

","
亞利安星人 wrote:本貓是說最近閒聊版的(恕刪)
其實01雖然改版但基本上就只是 圖 配 文的形態近幾年網路變化很大 進入影音 直播 時代01雖然有些改變 例如拍賣 或 自己賣夾克衣服但我想生意不會太好想要生存 總要有些大改變長此以往 01的流量會越來越低
"
"

 喬大叔

","
狗子2008 wrote:長此以往 01的流量會越來越低
影片流量大...一人抵好幾人??...
"
"

aavicky

","
喬大叔 wrote:被載走了喔...(恕刪)
迷路了
"
"

喬大叔

","
aavicky wrote:迷路了(恕刪)
被男生載走...然後故意迷路...外宿一晚喔...
"
"

人民幣

","
狗子2008 wrote:其實01雖然改版但基(恕刪)
看來 愛獎 要親自出馬 給01來個直播了來來來 分享01 刷起來分享到1萬 一件 一萬一件喔
"
"

aavicky

","
喬大叔 wrote:被男生載走...然後故意迷路...外宿一晚喔...挖鼻孔(恕刪)
我不是那種人，現在隨機殺人那麼多，壞人那麼多，學射箭也會被姦殺，女生也要懂得保護自己喔
"
"

喬大叔

","
aavicky wrote:學射箭也會被姦殺
妳還記得喔...
"
"

aavicky

","
喬大叔 wrote:妳還記得喔...(恕刪)
新聞加減看
"
"

喬大叔

","
aavicky wrote:新聞加減看
台灣人健忘啊...很多事都不了了之...
"
"

aavicky

","
喬大叔 wrote:台灣人健忘啊...很(恕刪)
這個案子很特殊，到底學射箭 日常生活用的到嗎？而且晚上為什麼要留在老師那邊喝酒？？？？？不知道男生會酒後亂性嗎？？？？借酒壯膽， 起了色心
"
"

Xantia_L

","
aavicky wrote:我不是那種人，現在隨(恕刪)
人家是單純的。所以要常上01閒聊與趣味。才會得到正確的姿勢。不會被帶壞。01沒有閒聊板。人氣會下滑多少。可以請蔣 蔣 蔣 試試看 維修一周看看。會不會掉。搞不好根本就沒差。也不用其他版面 穿插閒聊板。
"
"

喬大叔

","
aavicky wrote:這個案子很特殊，...(恕刪)
一種活動吧⋯騎馬日常生活也用不到⋯也是有人去學啊⋯晚上喝酒⋯理由千百種⋯謝師宴歡送會之類的⋯以為老師正人君子⋯小女子溫室長大⋯不知成人世界的險惡⋯都是有可能的⋯
"
"

aavicky

","
Xantia_L wrote:人家是單純的。所以要常上01閒聊與趣味。才會得到正確的姿勢。不會被帶壞。啊嘶啊嘶(恕刪)
01會抓錯別字，是 知識 不是 姿勢
"
"

aavicky

","
喬大叔 wrote:一種活動吧⋯騎馬日常(恕刪)
還好我不會抽菸，不會喝酒，不喝冰水，如果有人要找我 喝酒，我就可以推辭了
"
"

亞利安星人

","
aavicky wrote:還好我不會抽菸，不會(恕刪)
喝咖啡也是會出人命的…
"
"

Xantia_L

","
aavicky wrote:日常生活也用不到⋯也是有人去學啊⋯晚上喝酒⋯理由千百種⋯謝師宴歡送會之類的⋯以為老師正人君子⋯小女子溫室長大⋯
騎馬姿勢很重要 沒錯啊。下馬的標準姿勢是右腳脫鐙，平伸右腿從馬臀部上方邁過，千萬不要把腳碰到馬PP上，會容易造成馬匹的受驚，引發馬匹突然性的奔跑或跳躍，從而造成危險。與上馬姿勢相反。管妹 管弟 都有騎過。我不相信。林志玲意外墜馬肋骨骨折 至少需靜養兩個月。這就是不小心 被馬騎了。
"
"

aavicky

","
Xantia_L wrote:騎馬姿勢很重要 沒錯啊。下馬的標準姿勢是右腳脫鐙，平伸右腿從馬臀部上方邁過，千萬不要把腳碰到馬PP上，會容易造成馬匹的受驚，引發馬匹突然性的奔跑或跳躍，從而造成危險。與上馬姿勢相反。管妹 管弟 都有騎過。我不相信。沒圖沒真相林志玲意外墜馬肋骨骨折 至少需靜養兩個月。這就是不小心 被馬騎了。XDXD(恕刪)
你是很認真在討論騎馬？？？怎麼覺得閒聊版的人講話都怪怪的還是我錯怪你了
"
"

aavicky

","
喬大叔 wrote:一種活動吧⋯騎馬日常以為老師正人君子⋯小女子溫室長大⋯不知成人世界的險惡⋯都是有可能的⋯(恕刪)
女學員30歲 已經成年了，應該是不知道 男人世界 的險惡
"
"

Xantia_L

","
aavicky wrote:你是很認真在討論騎馬(恕刪)
對阿 01的人在閒聊版的男人，女人，同志 都怪怪的。同志法案都通過，不列出來 會被說歧視。
"
"

aavicky

","
亞利安星人 wrote:喝咖啡也是會出人命的(恕刪)
有這回事 ？？？還好我已經快 2個月 沒喝過咖啡了，現在改喝自己打的精力湯，綠拿鐵
"
"

喬大叔

","
aavicky wrote:女學員30歲 ...(恕刪)
環境不同⋯逆境的孩子早熟⋯溫室的孩子單純⋯年紀⋯並不代表一切⋯
"
"

君子之蕉蛋如水

","
樓上的各位，我覺得你們好大的膽子，公然把院長開的樓歪成這樣子，難道院長沒讓你們吃藥嗎? 
"
"

喬大叔

","
君子之蕉蛋如水 wrote:樓上的各位，我覺得你...(恕刪)
這裡不是閒聊區嗎⋯
"
"

Xantia_L

","
喬大叔 wrote:這裡不是閒聊區嗎⋯(恕刪)
可能蔣大藥開太重了。讓她以為是健康與養生。
"
"

aavicky

","
喬大叔 wrote:環境不同⋯逆境的孩子早熟⋯溫室的孩子單純⋯年紀⋯並不代表一切(恕刪)
大叔講話就是有智慧
"
"

aavicky

","
君子之蕉蛋如水 wrote:樓上的各位，我覺得你們好大的膽子，公然把院長開的樓歪成這樣子，(恕刪)
休閒版， 歪樓 很正常啊
"
"

亞利安星人

","
 aavicky wrote:有這回事 ？？？還好(恕刪)
會啊～～麻麻嘴～
"
"

aavicky

","
亞利安星人 wrote:會啊～～麻麻嘴～(恕刪)
對哦那女的太狠了
"
"

Xantia_L

","
aavicky wrote:對哦那女的太狠了(恕刪)
死掉的人沒法說話，只有檢察官能代替他說。01閒聊板 是警世文
"
"

喬大叔

","
亞利安星人 wrote:會啊～～麻麻嘴～
aavicky wrote:對哦那女的太狠了
...喝了好幾杯...算慢性??...
"
"

喬大叔

","
Xantia_L wrote:可能蔣大藥開太重了。讓她以為是健康與養生。
反正區已形同虛設了...
"
"

喬大叔

","
aavicky wrote:大叔講話就是有智慧
不講話就像...
"
"

Xantia_L

","
喬大叔 wrote:不講話就像...(恕刪)
蔣大好幾天沒出巡。看閒聊區 異議份子，有沒有再作亂。一定有音模....搞不好真的拋棄了。.....無解不過好歹也把 分區錯亂搞好。
"
"

espn8250

","
難怪google map地圖上的五星店家有時都很難吃難吃不能只有我吃到的概念....
"
